"Zombie Count","Human Count","tick"
7,198,1.0
8,197,2.0
8,197,3.0
9,196,4.0
9,196,5.0
11,194,6.0
11,194,7.0
11,194,8.0
13,192,9.0
14,191,10.0
15,190,11.0
15,190,12.0
15,190,13.0
16,189,14.0
16,189,15.0
16,189,16.0
17,188,17.0
17,188,18.0
17,188,19.0
19,186,20.0
19,186,21.0
18,186,22.0
19,185,23.0
20,184,24.0
20,184,25.0
21,183,26.0
22,182,27.0
25,179,28.0
26,178,29.0
27,177,30.0
27,177,31.0
28,176,32.0
28,176,33.0
29,175,34.0
30,174,35.0
32,172,36.0
32,172,37.0
34,170,38.0
35,169,39.0
36,168,40.0
37,167,41.0
37,167,42.0
37,167,43.0
37,167,44.0
39,165,45.0
39,165,46.0
39,165,47.0
39,165,48.0
40,164,49.0
42,162,50.0
44,160,51.0
46,158,52.0
46,158,53.0
46,158,54.0
47,157,55.0
49,155,56.0
51,153,57.0
52,152,58.0
52,152,59.0
54,150,60.0
55,149,61.0
55,149,62.0
55,149,63.0
56,148,64.0
56,147,65.0
57,146,66.0
58,145,67.0
60,143,68.0
61,142,69.0
62,141,70.0
66,137,71.0
70,133,72.0
