"Zombie Count","Human Count","tick"
5,200,1.0
5,200,2.0
5,200,3.0
5,200,4.0
4,200,5.0
5,199,6.0
5,199,7.0
5,199,8.0
5,199,9.0
5,199,10.0
5,199,11.0
6,198,12.0
6,198,13.0
6,198,14.0
6,198,15.0
6,198,16.0
7,197,17.0
7,197,18.0
7,197,19.0
7,197,20.0
7,197,21.0
7,197,22.0
7,197,23.0
7,197,24.0
8,196,25.0
8,196,26.0
8,196,27.0
8,196,28.0
8,196,29.0
8,196,30.0
8,196,31.0
8,196,32.0
8,196,33.0
9,195,34.0
9,195,35.0
9,195,36.0
9,195,37.0
9,195,38.0
10,194,39.0
10,194,40.0
11,193,41.0
11,193,42.0
11,193,43.0
11,193,44.0
11,193,45.0
11,193,46.0
11,193,47.0
11,193,48.0
11,193,49.0
11,193,50.0
11,193,51.0
11,193,52.0
12,192,53.0
12,192,54.0
13,191,55.0
14,190,56.0
14,190,57.0
14,190,58.0
16,188,59.0
18,186,60.0
18,186,61.0
19,185,62.0
19,185,63.0
19,185,64.0
20,184,65.0
20,184,66.0
20,184,67.0
21,183,68.0
23,181,69.0
24,180,70.0
24,180,71.0
24,179,72.0
25,177,73.0
25,177,74.0
28,174,75.0
30,172,76.0
29,172,77.0
30,171,78.0
30,171,79.0
30,171,80.0
30,171,81.0
30,171,82.0
29,171,83.0
30,170,84.0
30,170,85.0
33,167,86.0
33,167,87.0
33,167,88.0
35,165,89.0
34,165,90.0
35,164,91.0
35,163,92.0
36,162,93.0
36,162,94.0
36,162,95.0
36,162,96.0
37,161,97.0
38,160,98.0
41,157,99.0
42,156,100.0
41,156,101.0
44,153,102.0
45,151,103.0
46,150,104.0
47,149,105.0
50,146,106.0
52,144,107.0
52,144,108.0
52,143,109.0
53,142,110.0
55,140,111.0
55,140,112.0
55,139,113.0
55,139,114.0
54,139,115.0
55,138,116.0
58,135,117.0
58,135,118.0
59,134,119.0
59,134,120.0
61,132,121.0
62,131,122.0
63,130,123.0
65,128,124.0
67,126,125.0
69,124,126.0
70,123,127.0
70,123,128.0
70,123,129.0
71,122,130.0
74,119,131.0
76,117,132.0
76,117,133.0
77,116,134.0
78,115,135.0
78,115,136.0
81,112,137.0
82,111,138.0
82,110,139.0
82,110,140.0
84,108,141.0
84,108,142.0
86,106,143.0
88,104,144.0
90,102,145.0
91,101,146.0
92,100,147.0
92,100,148.0
92,100,149.0
94,98,150.0
94,98,151.0
96,96,152.0
99,93,153.0
101,91,154.0
103,88,155.0
103,87,156.0
103,87,157.0
104,86,158.0
105,84,159.0
106,83,160.0
108,81,161.0
110,79,162.0
111,78,163.0
114,75,164.0
116,73,165.0
118,71,166.0
120,69,167.0
120,68,168.0
122,66,169.0
124,64,170.0
125,63,171.0
127,61,172.0
127,61,173.0
127,61,174.0
132,56,175.0
134,54,176.0
137,51,177.0
137,51,178.0
138,50,179.0
139,48,180.0
141,46,181.0
144,43,182.0
145,42,183.0
147,39,184.0
148,38,185.0
150,36,186.0
150,36,187.0
149,36,188.0
149,36,189.0
149,35,190.0
150,34,191.0
152,32,192.0
152,32,193.0
152,31,194.0
154,29,195.0
155,28,196.0
157,26,197.0
157,26,198.0
157,25,199.0
158,24,200.0
158,24,201.0
161,21,202.0
162,20,203.0
164,18,204.0
166,16,205.0
167,15,206.0
168,14,207.0
167,14,208.0
167,14,209.0
167,14,210.0
167,14,211.0
167,14,212.0
168,13,213.0
168,13,214.0
169,12,215.0
171,10,216.0
172,9,217.0
171,9,218.0
171,9,219.0
171,9,220.0
171,9,221.0
172,8,222.0
173,7,223.0
173,7,224.0
174,6,225.0
174,5,226.0
174,5,227.0
174,5,228.0
175,4,229.0
175,4,230.0
175,4,231.0
175,4,232.0
175,4,233.0
175,4,234.0
175,4,235.0
175,4,236.0
175,4,237.0
175,4,238.0
175,4,239.0
175,4,240.0
176,3,241.0
176,3,242.0
176,3,243.0
176,3,244.0
176,3,245.0
176,3,246.0
176,3,247.0
176,3,248.0
176,3,249.0
176,3,250.0
176,3,251.0
176,3,252.0
177,2,253.0
177,2,254.0
177,2,255.0
177,2,256.0
177,2,257.0
177,2,258.0
177,2,259.0
177,2,260.0
178,1,261.0
178,1,262.0
179,0,263.0
179,0,264.0
179,0,265.0
179,0,266.0
179,0,267.0
179,0,268.0
179,0,269.0
179,0,270.0
179,0,271.0
179,0,272.0
178,0,273.0
178,0,274.0
178,0,275.0
178,0,276.0
177,0,277.0
177,0,278.0
177,0,279.0
177,0,280.0
177,0,281.0
177,0,282.0
177,0,283.0
177,0,284.0
177,0,285.0
177,0,286.0
177,0,287.0
177,0,288.0
177,0,289.0
177,0,290.0
176,0,291.0
175,0,292.0
175,0,293.0
175,0,294.0
175,0,295.0
174,0,296.0
174,0,297.0
174,0,298.0
174,0,299.0
173,0,300.0
173,0,301.0
173,0,302.0
173,0,303.0
173,0,304.0
173,0,305.0
172,0,306.0
171,0,307.0
170,0,308.0
170,0,309.0
170,0,310.0
169,0,311.0
169,0,312.0
169,0,313.0
169,0,314.0
169,0,315.0
169,0,316.0
169,0,317.0
169,0,318.0
169,0,319.0
168,0,320.0
168,0,321.0
168,0,322.0
168,0,323.0
168,0,324.0
168,0,325.0
168,0,326.0
167,0,327.0
167,0,328.0
167,0,329.0
167,0,330.0
167,0,331.0
167,0,332.0
166,0,333.0
166,0,334.0
166,0,335.0
166,0,336.0
166,0,337.0
166,0,338.0
166,0,339.0
166,0,340.0
166,0,341.0
166,0,342.0
166,0,343.0
166,0,344.0
166,0,345.0
166,0,346.0
166,0,347.0
166,0,348.0
166,0,349.0
166,0,350.0
165,0,351.0
165,0,352.0
165,0,353.0
165,0,354.0
165,0,355.0
165,0,356.0
164,0,357.0
164,0,358.0
164,0,359.0
164,0,360.0
164,0,361.0
164,0,362.0
164,0,363.0
164,0,364.0
164,0,365.0
164,0,366.0
164,0,367.0
164,0,368.0
164,0,369.0
164,0,370.0
164,0,371.0
164,0,372.0
164,0,373.0
164,0,374.0
164,0,375.0
164,0,376.0
163,0,377.0
163,0,378.0
163,0,379.0
162,0,380.0
162,0,381.0
162,0,382.0
162,0,383.0
162,0,384.0
162,0,385.0
162,0,386.0
162,0,387.0
162,0,388.0
162,0,389.0
162,0,390.0
162,0,391.0
162,0,392.0
162,0,393.0
162,0,394.0
162,0,395.0
162,0,396.0
162,0,397.0
162,0,398.0
162,0,399.0
162,0,400.0
162,0,401.0
162,0,402.0
162,0,403.0
162,0,404.0
162,0,405.0
162,0,406.0
162,0,407.0
162,0,408.0
162,0,409.0
162,0,410.0
161,0,411.0
161,0,412.0
161,0,413.0
160,0,414.0
160,0,415.0
160,0,416.0
160,0,417.0
160,0,418.0
160,0,419.0
160,0,420.0
160,0,421.0
159,0,422.0
158,0,423.0
158,0,424.0
158,0,425.0
158,0,426.0
158,0,427.0
158,0,428.0
158,0,429.0
158,0,430.0
158,0,431.0
158,0,432.0
158,0,433.0
158,0,434.0
158,0,435.0
158,0,436.0
158,0,437.0
158,0,438.0
158,0,439.0
158,0,440.0
158,0,441.0
158,0,442.0
158,0,443.0
158,0,444.0
158,0,445.0
158,0,446.0
158,0,447.0
158,0,448.0
158,0,449.0
158,0,450.0
158,0,451.0
158,0,452.0
158,0,453.0
158,0,454.0
158,0,455.0
158,0,456.0
158,0,457.0
158,0,458.0
158,0,459.0
158,0,460.0
158,0,461.0
158,0,462.0
158,0,463.0
158,0,464.0
158,0,465.0
157,0,466.0
157,0,467.0
156,0,468.0
156,0,469.0
156,0,470.0
156,0,471.0
156,0,472.0
156,0,473.0
156,0,474.0
156,0,475.0
156,0,476.0
156,0,477.0
155,0,478.0
155,0,479.0
155,0,480.0
155,0,481.0
155,0,482.0
155,0,483.0
155,0,484.0
155,0,485.0
155,0,486.0
155,0,487.0
155,0,488.0
155,0,489.0
155,0,490.0
155,0,491.0
155,0,492.0
155,0,493.0
155,0,494.0
154,0,495.0
154,0,496.0
154,0,497.0
154,0,498.0
154,0,499.0
153,0,500.0
153,0,501.0
153,0,502.0
153,0,503.0
153,0,504.0
152,0,505.0
152,0,506.0
152,0,507.0
152,0,508.0
152,0,509.0
152,0,510.0
152,0,511.0
152,0,512.0
152,0,513.0
152,0,514.0
151,0,515.0
151,0,516.0
151,0,517.0
151,0,518.0
151,0,519.0
151,0,520.0
151,0,521.0
151,0,522.0
151,0,523.0
151,0,524.0
151,0,525.0
151,0,526.0
151,0,527.0
151,0,528.0
150,0,529.0
150,0,530.0
150,0,531.0
150,0,532.0
150,0,533.0
150,0,534.0
150,0,535.0
150,0,536.0
150,0,537.0
149,0,538.0
149,0,539.0
149,0,540.0
149,0,541.0
149,0,542.0
149,0,543.0
149,0,544.0
149,0,545.0
149,0,546.0
148,0,547.0
148,0,548.0
148,0,549.0
148,0,550.0
148,0,551.0
148,0,552.0
148,0,553.0
148,0,554.0
148,0,555.0
148,0,556.0
148,0,557.0
148,0,558.0
147,0,559.0
147,0,560.0
147,0,561.0
147,0,562.0
147,0,563.0
147,0,564.0
147,0,565.0
147,0,566.0
147,0,567.0
147,0,568.0
147,0,569.0
147,0,570.0
147,0,571.0
147,0,572.0
147,0,573.0
147,0,574.0
147,0,575.0
147,0,576.0
147,0,577.0
147,0,578.0
147,0,579.0
147,0,580.0
147,0,581.0
147,0,582.0
147,0,583.0
147,0,584.0
147,0,585.0
146,0,586.0
146,0,587.0
146,0,588.0
146,0,589.0
146,0,590.0
145,0,591.0
145,0,592.0
145,0,593.0
144,0,594.0
144,0,595.0
144,0,596.0
144,0,597.0
